UID,פיילוט,dateTimeCreate,shem_mishpacha_talmid,shem_male_talmid,mosad.code,mosad.teur,kita.code,kita.teur,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
STU0022,פיילוט א,2024-09-03 16:19:00,פרץ,שירה,1006,בית ספר נעמן עכו,ט1,כיתה ט׳1,3,1,3,3,4,4,3,4,3
STU0023,פיילוט א,2025-02-23 12:32:00,נחמיאס,תמר,1005,תיכון עירוני ד׳ תל אביב,ט1,כיתה ט׳1,3,1,2,2,2,2,2,2,1
STU0024,פיילוט ג,2024-12-23 16:45:00,אלמוג,יונתן,1001,בית ספר אורט נהריה,ט1,כיתה ט׳1,3,1,2,2,2,5,2,2,3
STU0025,פיילוט א,2024-09-11 12:23:00,לוי,ליאור,1001,בית ספר אורט נהריה,ט1,כיתה ט׳1,1,2,1,2,2,4,1,2,1
STU0026,פיילוט א,2024-10-16 14:01:00,אברהם,אדר,1004,בית ספר דה שליט רחובות,יא2,כיתה יא׳2,1,1,3,2,2,4,1,1,1
STU0027,פיילוט ג,2024-10-22 15:22:00,גרוס,אייל,1007,תיכון מקיף גבעתיים,יב1,כיתה יב׳1,1,1,1,3,1,3,1,2,1
STU0028,פיילוט ג,2025-02-21 16:21:00,כהן,אורי,1004,בית ספר דה שליט רחובות,ט1,כיתה ט׳1,4,4,5,3,5,3,5,5,4
STU0029,פיילוט ג,2025-01-09 09:24:00,שלום,רונית,1005,תיכון עירוני ד׳ תל אביב,ט2,כיתה ט׳2,3,3,5,4,5,4,4,5,5
STU0030,פיילוט ג,2024-12-03 14:04:00,ברק,שון,1005,תיכון עירוני ד׳ תל אביב,ט1,כיתה ט׳1,2,3,4,3,4,5,3,4,1
STU0031,פיילוט א,2025-01-20 10:12:00,אלמוג,יעל,1006,בית ספר נעמן עכו,יא2,כיתה יא׳2,2,2,2,3,1,3,1,3,1
STU0032,פיילוט ג,2025-02-15 13:29:00,זיו,רחל,1003,תיכון הרצליה תל אביב,יא1,כיתה יא׳1,3,3,2,2,3,3,2,4,3
STU0033,פיילוט ב,2024-09-24 11:43:00,גרוס,אייל,1004,בית ספר דה שליט רחובות,יא1,כיתה יא׳1,1,2,1,2,2,4,2,3,1
STU0034,פיילוט א,2025-02-26 14:31:00,שפירא,אייל,1004,בית ספר דה שליט רחובות,ט2,כיתה ט׳2,3,4,5,3,5,3,5,5,3
STU0035,פיילוט ג,2024-11-03 09:29:00,ביטון,רחל,1003,תיכון הרצליה תל אביב,יא2,כיתה יא׳2,3,4,4,3,5,4,4,4,5
STU0036,פיילוט ב,2024-11-06 11:53:00,דהן,הדס,1006,בית ספר נעמן עכו,יב1,כיתה יב׳1,3,2,2,3,1,2,2,2,1
STU0037,פיילוט א,2024-09-21 10:09:00,שמש,יעל,1008,בית ספר עמל פתח תקווה,יא2,כיתה יא׳2,3,1,4,2,2,4,2,3,3
STU0038,פיילוט א,2024-12-09 17:44:00,כהן,גלית,1003,תיכון הרצליה תל אביב,יא2,כיתה יא׳2,4,4,5,5,5,3,3,4,4
STU0039,פיילוט א,2025-01-03 11:17:00,אלמוג,ניר,1007,תיכון מקיף גבעתיים,י2,כיתה י׳2,3,2,3,3,4,5,3,4,1
STU0040,פיילוט ב,2024-12-10 17:36:00,כהן,מיכל,1001,בית ספר אורט נהריה,י2,כיתה י׳2,3,1,3,1,1,2,2,3,1
STU0041,פיילוט ב,2024-11-11 14:16:00,מזרחי,ניר,1007,תיכון מקיף גבעתיים,ט2,כיתה ט׳2,3,4,5,4,4,3,4,5,4
STU0042,פיילוט ג,2024-09-06 17:09:00,שמש,שירה,1001,בית ספר אורט נהריה,יא2,כיתה יא׳2,4,3,5,3,5,2,3,4,3
STU0043,פיילוט א,2024-09-30 10:19:00,פרץ,גלית,1008,בית ספר עמל פתח תקווה,יא2,כיתה יא׳2,2,2,4,2,3,3,3,4,3
STU0044,פיילוט ג,2024-09-27 12:54:00,כץ,אורי,1001,בית ספר אורט נהריה,י1,כיתה י׳1,2,1,3,1,1,4,2,3,1
STU0045,פיילוט ג,2024-09-28 14:23:00,זיו,שירה,1001,בית ספר אורט נהריה,י1,כיתה י׳1,4,2,2,3,4,4,1,3,2
STU0046,פיילוט ג,2024-11-08 13:54:00,שמש,מיכל,1007,תיכון מקיף גבעתיים,ט2,כיתה ט׳2,4,2,4,3,3,4,2,4,3
STU0047,פיילוט א,2024-10-17 15:13:00,אלון,תמר,1005,תיכון עירוני ד׳ תל אביב,י2,כיתה י׳2,2,2,3,3,1,3,1,2,1
STU0048,פיילוט ג,2025-01-04 16:48:00,שמש,ניר,1006,בית ספר נעמן עכו,י1,כיתה י׳1,2,2,1,3,1,2,1,3,1
STU0049,פיילוט א,2024-12-31 16:33:00,אלון,עמית,1008,בית ספר עמל פתח תקווה,י2,כיתה י׳2,4,3,5,5,4,3,5,5,4
STU0050,פיילוט ג,2025-01-16 10:12:00,פרידמן,ניר,1006,בית ספר נעמן עכו,י1,כיתה י׳1,3,2,3,1,2,5,1,3,1
STU0051,פיילוט ג,2024-11-17 08:45:00,בן יוסף,שירה,1005,תיכון עירוני ד׳ תל אביב,יא2,כיתה יא׳2,3,2,2,1,1,3,1,2,1
STU0052,פיילוט א,2024-12-30 15:28:00,ברק,דוד,1005,תיכון עירוני ד׳ תל אביב,ט1,כיתה ט׳1,3,3,2,3,3,3,1,4,2
STU0053,פיילוט ב,2024-10-09 17:19:00,מזרחי,אייל,1001,בית ספר אורט נהריה,י1,כיתה י׳1,3,4,5,3,5,4,5,4,3
STU0054,פיילוט ב,2024-12-19 12:36:00,כץ,יוסף,1002,בית ספר ריאלי חיפה,יא1,כיתה יא׳1,3,2,1,3,1,3,1,2,2
STU0055,פיילוט א,2024-10-11 08:26:00,זיו,שון,1002,בית ספר ריאלי חיפה,יב1,כיתה יב׳1,1,1,3,1,1,2,1,3,1
STU0056,פיילוט א,2025-02-08 17:42:00,פרידמן,עמית,1008,בית ספר עמל פתח תקווה,י1,כיתה י׳1,4,5,5,5,5,2,5,4,4
STU0057,פיילוט א,2025-01-24 12:28:00,פרץ,רחל,1002,בית ספר ריאלי חיפה,יא1,כיתה יא׳1,1,1,1,1,1,2,1,3,2
STU0058,פיילוט ב,2024-11-22 17:16:00,כהן,מיכל,1005,תיכון עירוני ד׳ תל אביב,יא2,כיתה יא׳2,5,5,5,4,4,4,3,5,5
STU0059,פיילוט ג,2024-12-23 12:11:00,שלום,עמית,1004,בית ספר דה שליט רחובות,יא2,כיתה יא׳2,1,2,2,3,1,2,1,3,2
STU0060,פיילוט ב,2025-01-05 12:42:00,שפירא,יונתן,1008,בית ספר עמל פתח תקווה,ט1,כיתה ט׳1,3,2,3,3,2,3,2,3,3
STU0061,פיילוט א,2024-12-15 08:12:00,בן דוד,ליאור,1001,בית ספר אורט נהריה,י2,כיתה י׳2,3,2,2,2,4,3,3,4,2
STU0062,פיילוט ב,2024-10-02 08:40:00,כץ,אייל,1008,בית ספר עמל פתח תקווה,יא2,כיתה יא׳2,1,1,2,3,1,3,1,3,1
STU0063,פיילוט ג,2025-01-06 12:32:00,דהן,עמית,1003,תיכון הרצליה תל אביב,י1,כיתה י׳1,5,4,4,3,4,3,3,5,3
STU0064,פיילוט א,2024-11-10 14:21:00,בן דוד,תמר,1008,בית ספר עמל פתח תקווה,י2,כיתה י׳2,4,1,3,1,4,5,3,2,1
STU0065,פיילוט ג,2024-11-25 16:48:00,בן יוסף,יעל,1001,בית ספר אורט נהריה,י1,כיתה י׳1,4,3,4,2,2,4,3,3,2
STU0066,פיילוט א,2025-02-28 14:24:00,ביטון,ניר,1008,בית ספר עמל פתח תקווה,י1,כיתה י׳1,1,2,2,1,1,2,1,3,1
STU0067,פיילוט ג,2024-12-14 10:04:00,נחמיאס,תמר,1001,בית ספר אורט נהריה,ט2,כיתה ט׳2,2,1,2,1,2,3,1,3,1
STU0068,פיילוט ג,2025-01-03 16:02:00,כץ,מיכל,1006,בית ספר נעמן עכו,יא1,כיתה יא׳1,4,1,3,3,4,4,2,4,3
STU0069,פיילוט ג,2024-10-13 12:57:00,כהן,יוסף,1004,בית ספר דה שליט רחובות,יא2,כיתה יא׳2,2,3,2,2,2,5,3,2,2
STU0070,פיילוט א,2024-10-17 10:11:00,מזרחי,שון,1006,בית ספר נעמן עכו,יב1,כיתה יב׳1,3,2,3,1,2,5,2,4,3
STU0071,פיילוט ג,2025-02-18 08:57:00,זיו,גיל,1007,תיכון מקיף גבעתיים,יא1,כיתה יא׳1,4,5,4,3,5,4,4,5,4
STU0072,פיילוט ב,2024-12-08 15:06:00,שמש,יעל,1003,תיכון הרצליה תל אביב,ט1,כיתה ט׳1,4,2,4,2,4,4,2,3,1
STU0073,פיילוט ב,2024-09-13 17:47:00,נחמיאס,גיל,1006,בית ספר נעמן עכו,יא1,כיתה יא׳1,2,1,3,2,1,2,2,3,2
STU0074,פיילוט ב,2025-02-08 09:57:00,לוי,גיל,1004,בית ספר דה שליט רחובות,יא1,כיתה יא׳1,5,3,5,4,5,4,5,5,3
STU0075,פיילוט ג,2024-10-04 16:56:00,אלון,הדס,1008,בית ספר עמל פתח תקווה,ט1,כיתה ט׳1,4,1,2,2,3,5,2,2,1
STU0076,פיילוט א,2025-02-21 14:54:00,בן יוסף,ליאור,1005,תיכון עירוני ד׳ תל אביב,יב1,כיתה יב׳1,4,4,5,4,4,3,3,4,3
STU0077,פיילוט ב,2025-01-28 14:52:00,אלון,אורי,1002,בית ספר ריאלי חיפה,יב1,כיתה יב׳1,4,5,4,4,5,4,5,5,4
STU0078,פיילוט א,2024-11-17 14:07:00,ביטון,יוסף,1004,בית ספר דה שליט רחובות,י2,כיתה י׳2,3,1,3,1,2,2,2,2,2
STU0079,פיילוט ב,2025-02-26 16:26:00,שלום,שירה,1001,בית ספר אורט נהריה,י1,כיתה י׳1,3,3,5,3,5,3,4,5,5
STU0080,פיילוט א,2024-10-31 13:06:00,אלון,יונתן,1007,תיכון מקיף גבעתיים,יא2,כיתה יא׳2,4,2,3,1,4,4,1,3,2
STU0081,פיילוט ב,2024-09-06 08:50:00,ברק,אייל,1006,בית ספר נעמן עכו,ט1,כיתה ט׳1,2,1,3,1,4,3,3,4,3
STU0082,פיילוט ג,2024-09-01 12:54:00,ביטון,שירה,1003,תיכון הרצליה תל אביב,יב1,כיתה יב׳1,3,5,4,5,4,2,4,4,5
STU0083,פיילוט א,2024-10-15 12:03:00,ביטון,עמית,1005,תיכון עירוני ד׳ תל אביב,יב1,כיתה יב׳1,5,3,4,3,5,2,5,5,3
STU0084,פיילוט א,2024-09-12 16:19:00,זיו,נועה,1002,בית ספר ריאלי חיפה,יא2,כיתה יא׳2,3,2,4,3,2,4,3,2,3
STU0085,פיילוט ב,2024-10-08 09:08:00,דהן,שון,1001,בית ספר אורט נהריה,י2,כיתה י׳2,4,1,3,3,3,3,1,3,3
STU0086,פיילוט ג,2025-02-14 16:46:00,פרידמן,עמית,1006,בית ספר נעמן עכו,י2,כיתה י׳2,3,2,4,3,3,3,3,2,3
STU0087,פיילוט ב,2024-11-05 13:09:00,נחמיאס,מיכל,1008,בית ספר עמל פתח תקווה,ט2,כיתה ט׳2,3,2,3,3,2,4,2,3,3
STU0088,פיילוט א,2025-01-22 16:21:00,פרץ,עמית,1002,בית ספר ריאלי חיפה,יב1,כיתה יב׳1,4,3,5,5,5,2,5,4,5
STU0089,פיילוט ג,2025-01-08 11:09:00,נחמיאס,אייל,1006,בית ספר נעמן עכו,יב1,כיתה יב׳1,2,2,1,2,2,3,1,1,2
STU0090,פיילוט ג,2025-02-12 16:01:00,כץ,תמר,1002,בית ספר ריאלי חיפה,י1,כיתה י׳1,2,2,4,1,3,5,3,4,3
STU0091,פיילוט ב,2024-09-18 10:47:00,כהן,מיכל,1001,בית ספר אורט נהריה,ט2,כיתה ט׳2,2,1,2,1,1,2,2,3,1
STU0092,פיילוט ב,2024-09-14 10:10:00,כץ,יוסף,1004,בית ספר דה שליט רחובות,י2,כיתה י׳2,3,1,3,2,4,4,3,4,1
STU0093,פיילוט ב,2024-11-28 14:07:00,גרוס,גלית,1002,בית ספר ריאלי חיפה,י1,כיתה י׳1,2,1,3,2,1,3,1,3,1
STU0094,פיילוט ג,2024-10-06 12:18:00,ברק,אורי,1008,בית ספר עמל פתח תקווה,יא1,כיתה יא׳1,2,1,3,3,2,3,1,3,1
STU0095,פיילוט ג,2024-11-30 09:25:00,לוי,עמית,1001,בית ספר אורט נהריה,י2,כיתה י׳2,2,1,3,3,4,3,3,4,3
STU0096,פיילוט א,2024-12-13 08:20:00,אברהם,שון,1001,בית ספר אורט נהריה,י2,כיתה י׳2,4,2,4,2,4,5,2,3,1
STU0097,פיילוט ג,2024-12-11 12:47:00,ברק,אייל,1008,בית ספר עמל פתח תקווה,יב1,כיתה יב׳1,2,2,2,1,3,5,2,4,1
STU0098,פיילוט א,2025-02-13 10:15:00,פרץ,שירה,1006,בית ספר נעמן עכו,יב1,כיתה יב׳1,5,5,4,5,5,2,4,5,5
STU0099,פיילוט א,2024-12-24 17:41:00,כץ,אדר,1005,תיכון עירוני ד׳ תל אביב,ט2,כיתה ט׳2,1,2,1,1,2,3,1,3,2
STU0100,פיילוט ב,2024-09-19 12:29:00,זיו,יוסף,1006,בית ספר נעמן עכו,ט2,כיתה ט׳2,4,4,5,4,5,4,3,5,5
STU0101,פיילוט ב,2024-09-11 15:58:00,שלום,רונית,1001,בית ספר אורט נהריה,י1,כיתה י׳1,5,3,5,5,5,3,4,5,5
STU0102,פיילוט ב,2024-10-15 08:15:00,זיו,רחל,1006,בית ספר נעמן עכו,יא1,כיתה יא׳1,2,1,3,1,3,5,1,4,3
STU0103,פיילוט ב,2024-09-17 13:06:00,בן יוסף,יעל,1003,תיכון הרצליה תל אביב,י1,כיתה י׳1,3,2,3,3,4,3,3,4,2
STU0104,פיילוט ג,2025-02-15 14:08:00,כץ,מיכל,1005,תיכון עירוני ד׳ תל אביב,י1,כיתה י׳1,3,1,2,1,2,4,1,2,1
STU0105,פיילוט ב,2025-02-19 14:32:00,אלון,נועה,1005,תיכון עירוני ד׳ תל אביב,יא1,כיתה יא׳1,2,1,3,3,2,4,2,1,2
STU0106,פיילוט א,2025-01-08 16:53:00,בן דוד,יוסף,1006,בית ספר נעמן עכו,י1,כיתה י׳1,4,4,4,3,4,2,3,5,3
STU0107,פיילוט ג,2024-12-22 08:26:00,אלון,אייל,1006,בית ספר נעמן עכו,יב1,כיתה יב׳1,5,4,4,3,4,4,5,4,5
STU0108,פיילוט ב,2025-02-21 17:28:00,זיו,גיל,1008,בית ספר עמל פתח תקווה,יא1,כיתה יא׳1,3,1,1,3,1,3,1,1,1
STU0109,פיילוט ג,2025-01-20 09:45:00,בן דוד,אורי,1007,תיכון מקיף גבעתיים,יא1,כיתה יא׳1,2,1,4,1,3,3,3,3,2
STU0110,פיילוט א,2024-12-16 08:25:00,בן דוד,ליאור,1005,תיכון עירוני ד׳ תל אביב,ט1,כיתה ט׳1,4,5,4,4,4,2,4,5,3
STU0111,פיילוט א,2024-09-10 12:58:00,נחמיאס,שירה,1004,בית ספר דה שליט רחובות,י2,כיתה י׳2,2,1,3,1,4,5,2,2,1
STU0112,פיילוט ג,2024-12-18 09:49:00,גרוס,אייל,1008,בית ספר עמל פתח תקווה,י2,כיתה י׳2,3,3,5,3,4,4,5,5,5
STU0113,פיילוט א,2024-09-05 16:36:00,שמש,שירה,1005,תיכון עירוני ד׳ תל אביב,ט1,כיתה ט׳1,4,5,5,4,4,2,4,5,5
STU0114,פיילוט א,2024-12-02 09:33:00,בן יוסף,הדס,1005,תיכון עירוני ד׳ תל אביב,י2,כיתה י׳2,2,1,3,2,1,4,2,1,2
STU0115,פיילוט ב,2024-11-01 09:49:00,שלום,אדר,1001,בית ספר אורט נהריה,י2,כיתה י׳2,5,4,5,4,5,2,4,4,4
STU0116,פיילוט ב,2024-10-05 09:45:00,זיו,יוסף,1003,תיכון הרצליה תל אביב,ט1,כיתה ט׳1,3,3,2,3,3,5,2,4,1
STU0117,פיילוט א,2025-02-13 11:18:00,אלון,יוסף,1005,תיכון עירוני ד׳ תל אביב,ט2,כיתה ט׳2,3,4,5,5,5,4,4,5,3
STU0118,פיילוט א,2025-01-06 13:59:00,בן דוד,תמר,1006,בית ספר נעמן עכו,י1,כיתה י׳1,3,2,4,2,3,4,1,3,3
STU0119,פיילוט ב,2025-02-17 12:19:00,זיו,שון,1002,בית ספר ריאלי חיפה,יא2,כיתה יא׳2,4,5,4,5,5,3,3,4,4
STU0120,פיילוט ג,2024-09-15 09:42:00,שפירא,ליאור,1007,תיכון מקיף גבעתיים,ט2,כיתה ט׳2,3,2,2,3,3,5,2,3,3
STU0121,פיילוט א,2024-12-08 17:02:00,כץ,שירה,1003,תיכון הרצליה תל אביב,ט1,כיתה ט׳1,3,1,1,1,1,2,2,2,1
STU0122,פיילוט ב,2024-11-03 09:01:00,אברהם,ניר,1008,בית ספר עמל פתח תקווה,י1,כיתה י׳1,2,3,2,3,3,4,2,4,2
STU0123,פיילוט א,2024-10-02 10:54:00,מזרחי,רחל,1007,תיכון מקיף גבעתיים,יא1,כיתה יא׳1,4,5,5,3,5,3,5,5,3
STU0124,פיילוט ב,2024-11-16 10:45:00,אברהם,ליאור,1003,תיכון הרצליה תל אביב,יא2,כיתה יא׳2,5,4,5,4,5,2,5,5,4
STU0125,פיילוט א,2024-10-04 17:56:00,מזרחי,מיכל,1004,בית ספר דה שליט רחובות,ט1,כיתה ט׳1,3,4,4,4,5,4,4,5,5
STU0126,פיילוט ג,2024-09-19 15:29:00,בן דוד,ליאור,1005,תיכון עירוני ד׳ תל אביב,י2,כיתה י׳2,2,2,2,2,2,2,1,2,2
STU0127,פיילוט ג,2024-11-17 10:10:00,ברק,אייל,1003,תיכון הרצליה תל אביב,יב1,כיתה יב׳1,3,1,1,2,2,2,1,3,1
STU0128,פיילוט ב,2025-01-15 09:32:00,אברהם,גלית,1006,בית ספר נעמן עכו,יא1,כיתה יא׳1,4,3,5,5,5,2,5,5,5
STU0129,פיילוט ג,2025-01-26 12:41:00,פרידמן,גלית,1003,תיכון הרצליה תל אביב,ט2,כיתה ט׳2,3,2,2,3,1,2,1,1,2
STU0130,פיילוט ג,2024-12-13 12:29:00,מזרחי,יוסף,1007,תיכון מקיף גבעתיים,יא1,כיתה יא׳1,4,5,5,4,5,3,4,4,5
STU0131,פיילוט ב,2024-11-28 14:08:00,אלון,הדס,1003,תיכון הרצליה תל אביב,י2,כיתה י׳2,3,1,3,3,2,4,3,3,3
STU0132,פיילוט א,2025-02-05 14:15:00,אברהם,אדר,1002,בית ספר ריאלי חיפה,י1,כיתה י׳1,2,2,3,1,2,3,1,3,2
STU0133,פיילוט א,2024-12-27 11:13:00,שלום,ליאור,1006,בית ספר נעמן עכו,ט2,כיתה ט׳2,4,2,3,2,3,3,1,3,3
STU0134,פיילוט ב,2024-10-05 12:46:00,אלון,יעל,1001,בית ספר אורט נהריה,ט1,כיתה ט׳1,4,3,4,2,3,5,1,2,2
STU0135,פיילוט ב,2024-12-25 16:17:00,כץ,שון,1006,בית ספר נעמן עכו,ט1,כיתה ט׳1,5,5,4,4,5,3,3,5,5
STU0136,פיילוט א,2025-01-07 08:02:00,לוי,שירה,1002,בית ספר ריאלי חיפה,ט2,כיתה ט׳2,3,2,4,2,2,3,3,4,2
STU0137,פיילוט ב,2024-12-10 17:47:00,גרוס,גלית,1006,בית ספר נעמן עכו,יב1,כיתה יב׳1,3,1,4,3,2,4,3,3,1
STU0138,פיילוט ג,2024-09-29 14:37:00,גרוס,נועה,1006,בית ספר נעמן עכו,יא1,כיתה יא׳1,3,3,4,2,3,3,2,3,3
STU0139,פיילוט ג,2025-02-09 17:49:00,שפירא,שירה,1008,בית ספר עמל פתח תקווה,י1,כיתה י׳1,3,2,1,3,1,4,1,1,2
STU0140,פיילוט ג,2024-10-23 14:32:00,כץ,ניר,1004,בית ספר דה שליט רחובות,ט1,כיתה ט׳1,1,1,1,2,1,3,1,2,2
STU0141,פיילוט א,2024-12-27 16:21:00,בן יוסף,ליאור,1001,בית ספר אורט נהריה,יא2,כיתה יא׳2,2,3,3,3,3,5,2,3,1
STU0142,פיילוט ב,2025-02-24 15:20:00,נחמיאס,ליאור,1005,תיכון עירוני ד׳ תל אביב,יא1,כיתה יא׳1,3,4,5,4,4,3,4,5,3
STU0143,פיילוט א,2024-09-21 13:59:00,זיו,תמר,1005,תיכון עירוני ד׳ תל אביב,י1,כיתה י׳1,4,3,3,2,3,3,2,2,2
STU0144,פיילוט א,2024-11-01 11:03:00,בן דוד,אייל,1008,בית ספר עמל פתח תקווה,ט2,כיתה ט׳2,3,3,4,2,2,3,3,4,3
STU0145,פיילוט א,2024-12-14 15:30:00,פרידמן,גיל,1004,בית ספר דה שליט רחובות,ט1,כיתה ט׳1,3,3,3,1,4,3,1,4,1
STU0146,פיילוט ג,2024-12-16 10:59:00,לוי,יעל,1006,בית ספר נעמן עכו,י1,כיתה י׳1,3,5,5,3,5,4,5,4,3
STU0147,פיילוט ג,2025-02-12 16:33:00,נחמיאס,שירה,1008,בית ספר עמל פתח תקווה,ט2,כיתה ט׳2,2,1,3,3,4,3,2,3,2
STU0148,פיילוט א,2024-11-26 12:36:00,פרידמן,דוד,1008,בית ספר עמל פתח תקווה,י1,כיתה י׳1,4,3,5,4,5,3,5,4,3
STU0149,פיילוט ב,2024-11-03 08:16:00,שפירא,אייל,1007,תיכון מקיף גבעתיים,יב1,כיתה יב׳1,3,1,3,3,2,3,1,3,2
STU0150,פיילוט ב,2024-10-31 08:42:00,פרץ,רחל,1008,בית ספר עמל פתח תקווה,יב1,כיתה יב׳1,3,3,4,3,2,4,3,3,3
STU0151,פיילוט ב,2024-10-27 11:08:00,נחמיאס,שירה,1005,תיכון עירוני ד׳ תל אביב,ט2,כיתה ט׳2,3,2,2,3,1,4,1,2,2
STU0152,פיילוט ג,2025-01-31 09:33:00,זיו,הדס,1008,בית ספר עמל פתח תקווה,יא2,כיתה יא׳2,3,3,4,2,4,5,1,2,3
STU0153,פיילוט ג,2025-01-12 15:07:00,פרידמן,גלית,1006,בית ספר נעמן עכו,ט1,כיתה ט׳1,3,5,5,3,5,4,3,4,4
STU0154,פיילוט ג,2024-12-28 12:46:00,כהן,יעל,1008,בית ספר עמל פתח תקווה,ט1,כיתה ט׳1,2,2,2,3,3,4,3,2,3
STU0155,פיילוט א,2024-09-16 09:59:00,נחמיאס,יוסף,1005,תיכון עירוני ד׳ תל אביב,יב1,כיתה יב׳1,1,2,1,1,1,3,2,1,2
STU0156,פיילוט א,2024-12-06 09:43:00,בן יוסף,שירה,1005,תיכון עירוני ד׳ תל אביב,י2,כיתה י׳2,1,2,3,3,1,3,1,2,1
STU0157,פיילוט א,2025-02-20 16:27:00,בן יוסף,יעל,1006,בית ספר נעמן עכו,ט1,כיתה ט׳1,3,3,2,3,2,3,1,3,2
STU0158,פיילוט ב,2024-09-05 11:13:00,מזרחי,אורי,1004,בית ספר דה שליט רחובות,ט2,כיתה ט׳2,2,2,2,3,2,3,3,3,3
STU0159,פיילוט ג,2024-10-26 08:08:00,בן דוד,גיל,1001,בית ספר אורט נהריה,י2,כיתה י׳2,3,1,1,3,1,3,1,1,2
STU0160,פיילוט ג,2025-01-12 11:26:00,גרוס,תמר,1004,בית ספר דה שליט רחובות,יב1,כיתה יב׳1,3,3,4,3,3,3,2,2,3
STU0161,פיילוט ג,2025-02-19 14:50:00,בן דוד,אדר,1001,בית ספר אורט נהריה,יא1,כיתה יא׳1,1,2,3,2,2,3,1,2,2
STU0162,פיילוט א,2024-12-28 08:35:00,אלמוג,עמית,1007,תיכון מקיף גבעתיים,י2,כיתה י׳2,3,1,4,2,2,3,2,4,1
STU0163,פיילוט א,2024-10-19 08:17:00,שפירא,שון,1003,תיכון הרצליה תל אביב,י2,כיתה י׳2,3,4,5,3,5,3,3,5,5
